Window Title, Duration (seconds), Start Time, End Time
 D:\gitrepo\C training arc\test.exe, 3.00, 03/29/2025 19:50:50 , 03/29/2025 19:50:50
 Select D:\gitrepo\C training arc\test.exe, 1.00, 03/29/2025 19:51:12 , 03/29/2025 19:51:12
 D:\gitrepo\C training arc\test.exe, 1.00, 03/29/2025 19:51:13 , 03/29/2025 19:51:13
 Select D:\gitrepo\C training arc\test.exe, 1.00, 03/29/2025 19:52:00 , 03/29/2025 19:52:00
 D:\gitrepo\C training arc\test.exe, 4.00, 03/29/2025 19:52:04 , 03/29/2025 19:52:04
 Select D:\gitrepo\C training arc\test.exe, 1.00, 03/29/2025 19:52:56 , 03/29/2025 19:52:56
 D:\gitrepo\C training arc\test.exe, 22.00, 03/29/2025 19:53:18 , 03/29/2025 19:53:18
 Select D:\gitrepo\C training arc\test.exe, 0.00, 03/29/2025 19:55:04 , 03/29/2025 19:55:04
 D:\gitrepo\C training arc\test.exe, 5.00, 03/29/2025 19:55:09 , 03/29/2025 19:55:09
 Task Switching, 5.00, 03/29/2025 19:55:14 , 03/29/2025 19:55:14
 Gaming/Watching | Syzygy - Discord, 3.00, 03/29/2025 19:55:17 , 03/29/2025 19:55:17
 Copilot, 2.00, 03/29/2025 19:55:19 , 03/29/2025 19:55:19
 Gaming/Watching | Syzygy - Discord, 2.00, 03/29/2025 19:55:21 , 03/29/2025 19:55:21
 D:\gitrepo\C training arc\test.exe, 4.00, 03/29/2025 19:55:25 , 03/29/2025 19:55:25
 Copilot, 12.00, 03/29/2025 19:55:37 , 03/29/2025 19:55:37
 D:\gitrepo\C training arc\test.exe, 5.00, 03/29/2025 19:55:42 , 03/29/2025 19:55:42
 Copilot, 6.00, 03/29/2025 19:55:48 , 03/29/2025 19:55:48
 Task Manager, 6.00, 03/29/2025 19:55:54 , 03/29/2025 19:55:54
 Embedded Engineer Work, Jobs in Philippines - 29 March, 2025 | Indeed Philippines and 8 more pages - Personal - Microsoft? Edge, 10.00, 03/29/2025 19:56:04 , 03/29/2025 19:56:04
"D:\gitrepo\C training arc\test.exe", 8.00, 03/29/2025 20:03:07 , 03/29/2025 20:03:07
"C training arc", 4.00, 03/29/2025 20:03:11 , 03/29/2025 20:03:11
"Flat Earth Society - Mapua Chapter | Messenger and 8 more pages - Personal - Microsoft? Edge", 16.00, 03/29/2025 20:03:27 , 03/29/2025 20:03:27
"Pedro and Joven Magahis Clan | Messenger and 8 more pages - Personal - Microsoft? Edge", 0.00, 03/29/2025 20:03:27 , 03/29/2025 20:03:27
"b?? | Messenger and 8 more pages - Personal - Microsoft? Edge", 2.00, 03/29/2025 20:03:29 , 03/29/2025 20:03:29
"ChatGPT | OpenAI and 8 more pages - Personal - Microsoft? Edge", 1.00, 03/29/2025 20:03:30 , 03/29/2025 20:03:30
"YouTube and 8 more pages - Personal - Microsoft? Edge", 14.00, 03/29/2025 20:03:44 , 03/29/2025 20:03:44
"test.c - C training arc - Visual Studio Code", 14.00, 03/29/2025 20:03:58 , 03/29/2025 20:03:58
